:START_ID(Book),:END_ID(Author)
10791,"Jacobs, W. W. (William Wymark)"
10792,"Jacobs, W. W. (William Wymark)"
10793,"Jacobs, W. W. (William Wymark)"
10794,"Eastman, Mary H. (Mary Henderson)"
10795,"Home, Gordon"
10796,"Bolles, John R. (John Rogers)"
10797,"Thomson, A. T., Mrs."
10798,"Cobb, Irvin S. (Irvin Shrewsbury)"
10799,"Richardson, Samuel"
108,"Doyle, Arthur Conan"
1080,"Swift, Jonathan"
10800,"Burton, Robert"
10801,"Coleridge, Samuel Taylor"
10803,"Kerr, Robert"
10804,"Haywood, Eliza Fowler"
10805,"Daggett, David"
10806,"Dunsany, Lord"
10807,"Yonge, Charles Duke"
10808,Consumers' League of New York City
10809,University of Oxford. Faculty of Modern History
1081,"Gogol, Nikolai Vasilevich"
10810,"Cozzens, Samuel Woodworth"
10811,Christian Brothers
10812,"Le Gallienne, Richard"
10813,"Boyd, Mary Stuart"
10814,"Bécquer, Gustavo Adolfo"
10816,"Crowquill, Alfred"
10817,"Sinclair, May"
10818,"Inglis, James"
10819,"Eeden, Frederik van"
1082,"Bishop, Nathaniel H. (Nathaniel Holmes)"
10820,"Deyssel, Lodewijk van"
10821,"Byron, George Gordon Byron, Baron"
10822,"Blasco Ibáñez, Vicente"
10823,"Schopenhauer, Johanna"
10824,"Chevalier, Ulysse"
10825,"Altamirano, Ignacio Manuel"
10826,"Le Gallienne, Richard"
10827,"Machiavelli, Niccolò"
10828,Livy
10829,"Bang, Herman"
1083,"Conrad, Joseph"
10830,"Hewet, Henry W."
10831,"Wilder, Sampson Vryling Stoddard"
10832,"Hodgson, William Hope"
10833,"Schopenhauer, Arthur"
10834,Unknown
10835,"Johnson, Samuel"
10836,"Couturat, Louis"
10837,"Griggs, Edward Howard"
10838,Various
10839,"Johnson, James"
1084,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
10840,"Favenc, Ernest"
10841,"Maspero, G. (Gaston)"
10842,"Kitson, Arthur"
10843,"Yerkes, Robert Mearns"
10844,"Rhodes, Harrison"
10845,Various
10846,"Farrar, F. W. (Frederic William)"
10847,"Fletcher, John"
10848,"Vale, Ferna"
10849,"Walton, O. F., Mrs."
1085,"Carlyle, Thomas"
10850,"Fletcher, John"
10851,"Lamb, Mary"
10852,"Webster, Angus Duncan"
10853,Teachers of the School Street Universalist Sunday School. Boston
10854,Various
10855,"Wallace, Alfred Russel"
10856,"Griffiths, Charles John"
10857,"Cox, James"
10859,"Saint-Pierre, Bernardin de"
1086,"Twain, Mark"
10860,"Beesly, A. H. (Augustus Henry)"
10861,"Leighton, John"
10862,"Dwyer, James Francis"
10863,"Aho, Juhani"
10864,"Fellowes, W. D. (William Dorset)"
10865,"Archer, William"
10866,"Emmerich, Anna Katharina"
10867,Various
10868,"Rolland, Romain"
10869,"Camp, Wadsworth"
1087,"Roth, Lewis"
10870,"Burgess, Gelett"
10871,"Jacobs, W. W. (William Wymark)"
10872,"Jacobs, W. W. (William Wymark)"
10873,"Jacobs, W. W. (William Wymark)"
10874,"Jacobs, W. W. (William Wymark)"
10875,"Jacobs, W. W. (William Wymark)"
10876,"Jacobs, W. W. (William Wymark)"
10877,"Staley, Edgcumbe"
10878,"Riley, Harvey"
1088,"Seton, Ernest Thompson"
10880,"Le Feuvre, Amy"
10881,"Benson, E. F. (Edward Frederic)"
10882,"Cabell, James Branch"
